epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,585.465,0.32537,1.00575,0.358,0.25152,0.99873,0.99964,1,0.995,0.9614,0.95749,0.95783,0.94938,0.84072,0.30296,0.75991,0.64009,0.20806,0.6516,0.0004952,0.0004952,0.0004952
78,593.032,0.32728,1.03199,0.3673,0.25273,1.00026,0.99961,1,0.995,0.95924,0.95746,0.95783,0.94418,0.84212,0.29755,0.70337,0.63367,0.19973,0.64713,0.0004754,0.0004754,0.0004754
79,600.557,0.33503,1.02624,0.36928,0.25463,1.0037,0.99964,1,0.995,0.97049,0.95749,0.95783,0.94958,0.82252,0.28161,0.80142,0.6289,0.19665,0.62859,0.0004556,0.0004556,0.0004556
80,608.085,0.31826,0.97775,0.36326,0.24291,0.98784,0.99957,1,0.995,0.97278,0.97548,0.9759,0.96528,0.85764,0.2925,0.69911,0.63321,0.21468,0.64023,0.0004358,0.0004358,0.0004358
81,615.757,0.30885,0.86272,0.35954,0.24365,0.99238,0.99951,1,0.995,0.95692,0.96337,0.96386,0.95082,0.81229,0.29076,0.77077,0.62408,0.19649,0.6475,0.000416,0.000416,0.000416
82,623.58,0.30684,0.88467,0.35316,0.23906,1.00097,0.99964,1,0.995,0.96806,0.95748,0.95783,0.93735,0.81692,0.29762,0.75834,0.62745,0.199,0.66389,0.0003962,0.0003962,0.0003962
83,631.106,0.31358,0.94707,0.36709,0.23594,0.99426,0.99931,1,0.995,0.97492,0.95715,0.95783,0.9542,0.84513,0.27845,0.73195,0.62723,0.19988,0.6254,0.0003764,0.0003764,0.0003764
84,638.69,0.30351,0.89634,0.35624,0.23616,0.99087,0.99943,1,0.995,0.97021,0.9633,0.96386,0.96064,0.85996,0.27992,0.70215,0.61744,0.19583,0.63441,0.0003566,0.0003566,0.0003566
85,646.278,0.30013,0.97155,0.3656,0.23828,0.97881,0.99903,1,0.995,0.96454,0.97494,0.9759,0.96745,0.87059,0.28472,0.69066,0.60922,0.19973,0.63977,0.0003368,0.0003368,0.0003368
86,653.979,0.30731,0.86825,0.35536,0.24063,0.98553,0.99928,1,0.995,0.96726,0.96316,0.96386,0.95746,0.84315,0.28137,0.69349,0.60307,0.2003,0.63746,0.000317,0.000317,0.000317
